Step,Time (s),AL (mol/cm3),Err,O2 (mol/cm3),Err,ALO (mol/cm3),Err,O (mol/cm3),Err,ALO2 (mol/cm3),Err,AL2O2 (mol/cm3),Err,AL2O3(S) (mol/cm3),Err,AL2O (mol/cm3),Err,AL(L) (mol/cm3),Err,AL2O3(L) (mol/cm3),Err,T (K),Err,Density (mol/cm3),Err,Pressure (Pa),Err
80,7.99999999999999e-05,4.62803878597975e-07,0,2.93470249552912e-06,0,1.44629411349652e-06,0,1.42418929406564e-06,0,3.68487534257485e-10,0,1.31752001303705e-12,0,0,0,1.21966605306891e-08,0,0,0,8.43933200666919e-06,0,3215.1746277009,0,1.47198882539434e-05,0,393499.109770989,0
81,8.09999999999999e-05,5.71694472527977e-07,0,2.75050953182975e-06,0,1.52510701444135e-06,0,1.45719048521358e-06,0,3.17128642151293e-10,0,9.52938515540228e-13,0,0,0,1.22931091376601e-08,0,0,0,8.33937815540962e-06,0,3228.99073279199,0,1.46564908501406e-05,0,393487.984123485,0
82,8.19999999999999e-05,6.36725241511572e-07,0,2.64812677040039e-06,0,1.52554640599354e-06,0,1.49021718629984e-06,0,2.76432247129853e-10,0,7.09334544109309e-13,0,0,0,1.14397438478256e-08,0,0,0,8.3028988440422e-06,0,3238.06090826698,0,1.4615231333677e-05,0,393482.464282744,0
83,8.29999999999999e-05,7.74087331632145e-07,0,2.47210997024842e-06,0,1.62913064419542e-06,0,1.49444845997914e-06,0,2.49782354020673e-10,0,5.77683230589508e-13,0,0,0,1.22324962647052e-08,0,0,0,8.18278477601585e-06,0,3249.07021640825,0,1.45650440383729e-05,0,393464.517818313,0
84,8.39999999999999e-05,9.56741222608738e-07,0,2.27027769198494e-06,0,1.76754078959326e-06,0,1.48394968406302e-06,0,2.29979288268378e-10,0,5.00442308196722e-13,0,0,0,1.3722931152173e-08,0,0,0,8.02789171391098e-06,0,3258.81740655222,0,1.45203545130437e-05,0,393434.030733626,0
85,8.49999999999999e-05,1.05259734485017e-06,0,2.17123188854543e-06,0,1.78391267701677e-06,0,1.4984887619422e-06,0,2.08554343253744e-10,0,4.14067119194347e-13,0,0,0,1.33851174108341e-08,0,0,0,7.9741764879061e-06,0,3264.70768319927,0,1.44940012460819e-05,0,393429.816892431,0
86,8.59999999999999e-05,1.14729962360484e-06,0,2.08138748568777e-06,0,1.80558342476076e-06,0,1.50033316877034e-06,0,1.92141819246473e-10,0,3.53397937013009e-13,0,0,0,1.32616466124622e-08,0,0,0,7.92096609524975e-06,0,3270.30599871267,0,1.44690239399031e-05,0,393425.315086411,0
87,8.69999999999999e-05,1.20301184495992e-06,0,2.02918093162165e-06,0,1.78673572137273e-06,0,1.51284664394684e-06,0,1.7662061395904e-10,0,2.97559058902988e-13,0,0,0,1.25556133057177e-08,0,0,0,7.90491131466635e-06,0,3274.7032795481,0,1.44494189880462e-05,0,393420.525630741,0
88,8.79999999999998e-05,1.25720160360863e-06,0,1.98084201714136e-06,0,1.77348473451338e-06,0,1.519629554348e-06,0,1.64027820726836e-10,0,2.55827049040785e-13,0,0,0,1.20223608599413e-08,0,0,0,7.88769746760489e-06,0,3278.84151551297,0,1.4431042021724e-05,0,393416.700518165,0
89,8.89999999999998e-05,1.40980254453103e-06,0,1.8581882365717e-06,0,1.86838147445305e-06,0,1.48320389416454e-06,0,1.59933915608005e-10,0,2.52364967728025e-13,0,0,0,1.33486673493584e-08,0,0,0,7.77908673133848e-06,0,3282.92944934696,0,1.44121717346887e-05,0,393392.11731764,0
