Step,Time (s),AL (mol/cm3),Err,O2 (mol/cm3),Err,ALO (mol/cm3),Err,O (mol/cm3),Err,ALO2 (mol/cm3),Err,AL2O2 (mol/cm3),Err,AL2O3(S) (mol/cm3),Err,AL2O (mol/cm3),Err,AL(L) (mol/cm3),Err,AL2O3(L) (mol/cm3),Err,T (K),Err,Density (mol/cm3),Err,Pressure (Pa),Err
87,0.0435,0,0,2.20545916329802e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.71151101478707e-07,0,1.45272794515705e-11,0,2098.45049119803,0,2.29257572617384e-05,0,399997.329847595,0
88,0.044,0,0,2.20439258779755e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.70729485360532e-07,0,1.46858308730467e-11,0,2099.46569904301,0,2.29146700491669e-05,0,399997.306451771,0
89,0.0445,0,0,2.20332884214796e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.70308987206597e-07,0,1.48443082394966e-11,0,2100.47919254209,0,2.29036122529944e-05,0,399997.283157554,0
90,0.045,0,0,2.20226969117157e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.69890304654737e-07,0,1.50024463540895e-11,0,2101.48928162248,0,2.28926022188168e-05,0,399997.260041854,0
91,0.0455,0,0,2.20121384734835e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.69472928753312e-07,0,1.51604347562757e-11,0,2102.49718454339,0,2.28816265626715e-05,0,399997.237048181,0
92,0.046,0,0,2.20016230418268e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.69057252240101e-07,0,1.53181223603999e-11,0,2103.50194396814,0,2.28706956121893e-05,0,399997.214219581,0
93,0.0465,0,0,2.19911263923796e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.68642317526215e-07,0,1.54758704929608e-11,0,2104.50586719101,0,2.28597841857763e-05,0,399997.191450754,0
94,0.047,0,0,2.19806716319627e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.68229038032171e-07,0,1.56333302839662e-11,0,2105.5067375538,0,2.28489163033252e-05,0,399997.168841773,0
95,0.0475,0,0,2.19702432951197e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6781680240862e-07,0,1.57907324377421e-11,0,2106.50602746725,0,2.28380758882607e-05,0,399997.146325531,0
96,0.048,0,0,2.19598569284475e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67406225221689e-07,0,1.59478402486561e-11,0,2107.50223938498,0,2.28272791015094e-05,0,399997.123968923,0
97,0.0485,0,0,2.19495019621741e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.66996888648877e-07,0,1.61048111419516e-11,0,2108.49637834156,0,2.28165149556342e-05,0,399997.101726328,0
98,0.049,0,0,2.19391784151035e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.66588793437168e-07,0,1.6261642946779e-11,0,2109.48843532438,0,2.28057834701836e-05,0,399997.07959764,0
99,0.0495,0,0,2.19288859506006e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.66181926282853e-07,0,1.64183388971146e-11,0,2110.47843551943,0,2.27950842952223e-05,0,399997.057581335,0
100,0.05,0,0,2.19186218990432e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.65776181657611e-07,0,1.65749378816996e-11,0,2111.46662893057,0,2.27844146556387e-05,0,399997.035665912,0
101,0.0505,0,0,2.19083815547568e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.65371373545805e-07,0,1.67315102826707e-11,0,2112.45346280466,0,2.27737696598129e-05,0,399997.013831191,0
102,0.051,0,0,2.18981777023118e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.64968007333949e-07,0,1.68878589147328e-11,0,2113.43769843292,0,2.27631625975047e-05,0,399996.992131559,0
103,0.0515,0,0,2.18880086067284e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.64566014441499e-07,0,1.70440080130366e-11,0,2114.41949482298,0,2.27525916651779e-05,0,399996.970559448,0
104,0.052,0,0,2.18778735382116e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.64165366023377e-07,0,1.71999665537798e-11,0,2115.39891444229,0,2.27420561042015e-05,0,399996.949111557,0
105,0.0525,0,0,2.18677562033158e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.63765417987852e-07,0,1.73559837666867e-11,0,2116.37752596223,0,2.27315389772874e-05,0,399996.927718853,0
106,0.053,0,0,2.18576803066787e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.63367107405337e-07,0,1.75116924804269e-11,0,2117.35303010444,0,2.27210649257765e-05,0,399996.906481423,0
107,0.0535,0,0,2.18476451139128e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6297040525039e-07,0,1.76671011338006e-11,0,2118.32548820679,0,2.27106331862643e-05,0,399996.885395806,0
108,0.054,0,0,2.18376437857739e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.62575041165207e-07,0,1.78223130605464e-11,0,2119.29555422172,0,2.27002366492522e-05,0,399996.864433047,0
109,0.0545,0,0,2.18276650385061e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.62180569093198e-07,0,1.79775016501451e-11,0,2120.26431617547,0,2.26898635851009e-05,0,399996.843545743,0
110,0.055,0,0,2.18177189315907e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.61787386700946e-07,0,1.81325089140482e-11,0,2121.23079144408,0,2.26795244508006e-05,0,399996.822775928,0
111,0.0555,0,0,2.18077923665927e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.61394976193466e-07,0,1.82875374477985e-11,0,2122.19624694294,0,2.26692056303237e-05,0,399996.802068766,0
112,0.056,0,0,2.17978883803465e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.61003457622769e-07,0,1.8442538869027e-11,0,2123.16038295113,0,2.26589102805082e-05,0,399996.781436973,0
113,0.0565,0,0,2.17880295251604e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.60613722517562e-07,0,1.85971581185125e-11,0,2124.12099650267,0,2.26486618448361e-05,0,399996.760974112,0
114,0.057,0,0,2.17781972036934e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6022503570244e-07,0,1.87516843105137e-11,0,2125.07989115404,0,2.26384409910802e-05,0,399996.740602959,0
